id,_original_order,center_x_5186,center_y_5186
819584,23485,325275.9999999997,247182.99999999994
819592,23488,325276.0000000001,243183.00000000006
820754,23568,325776.0000000007,273183.0000000005
820792,23583,325776.0,254183.00000000058
820797,23585,325776.00000000023,251683.0000000003
820807,23586,325776.0000000001,246682.99999999983
820808,23587,325776.00000000035,246182.99999999936
822012,23690,326276.00000000093,255182.99999999974
822013,23691,326276.0000000001,254683.00000000035
822035,23693,326276.00000000023,243682.99999999983
823197,23780,326775.9999999994,273683.000000001
823238,23792,326776.00000000023,253183.0000000007
823239,23793,326775.99999999994,252683.00000000055
823255,23795,326776.0000000001,244683.00000000006
823257,23796,326775.9999999999,243682.99999999948
824478,23909,327276.00000000035,244183.0000000003
824480,23910,327275.9999999996,243182.9999999997
825690,24027,327776.00000000064,249183.00000000006
825704,24028,327776.00000000076,242183.00000000017
828127,24263,328776.0,252683.00000000055
828148,24264,328776.00000000035,242182.9999999998
829348,24384,329276.0000000004,253182.99999999994
829371,24385,329276.0000000008,241683.00000000076
830528,24498,329776.0,274183.00000000006
830561,24505,329775.9999999999,257683.0
830593,24510,329776.0000000006,241683.0000000004
831775,24641,330276.0,261683.00000000058
831781,24642,330276.0000000009,258683.00000000093
831783,24643,330275.9999999996,257683.0
831784,24644,330276.0000000008,257183.00000000023
831785,24645,330276.00000000076,256683.00000000012
831787,24646,330276.0000000003,255683.00000000023
831809,24651,330276.0000000013,244682.9999999997
832971,24759,330775.99999999977,274683.0000000002
832972,24760,330776.0000000002,274183.00000000006
832997,24766,330776.0000000001,261683.00000000023
833001,24768,330776.0,259682.99999999942
833002,24769,330775.9999999999,259183.00000000035
833003,24770,330776.0000000001,258683.00000000058
833010,24771,330776.00000000047,255183.0000000001
833035,24779,330776.0,242682.9999999996
834195,24888,331276.00000000023,273682.99999999994
834226,24897,331276.0000000002,258183.00000000012
834230,24898,331275.99999999994,256183.0
834256,24900,331276.0,243183.0000000004
835413,24997,331776.0000000006,275683.0000000004
835416,25000,331776.00000000023,274182.9999999997
835417,25001,331776.0000000006,273683.00000000064
835430,25006,331776.00000000006,267183.00000000047
835473,25012,331775.9999999999,245682.9999999996
835474,25013,331776.00000000105,245182.99999999983
836627,25119,332275.9999999999,279682.9999999996
836629,25120,332276.00000000023,278683.00000000006
837856,25236,332776.0000000002,276182.9999999998
837892,25244,332776.00000000006,258183.00000000047
839072,25333,333276.00000000047,279183.0000000002
839080,25338,333276.0000000011,275182.99999999994
840297,25445,333776.0000000001,277682.9999999995
840299,25447,333776.0000000007,276683.000000001
840300,25448,333776.00000000047,276183.0000000009
840345,25457,333776.0000000016,253683.00000000044
840361,25458,333776.000000001,245682.99999999994
841521,25564,334276.00000000023,276683.000000001
841530,25570,334275.99999999994,272182.9999999996
841562,25578,334276.0000000004,256183.0
841587,25580,334276.0000000001,243683.00000000017
841596,25581,334276.00000000023,239182.9999999998
842742,25687,334776.00000000023,277183.0000000004
842762,25699,334775.99999999977,267183.0000000001
842782,25701,334775.99999999977,257183.00000000023
842785,25702,334776.0000000004,255682.9999999995
842800,25706,334776.00000000035,248183.00000000017
842804,25707,334775.9999999993,246183.0000000004
842805,25708,334775.9999999994,245683.0000000003
842810,25711,334776.0000000006,243183.00000000006
