sigungu_code,sido_name,sigungu_name,all_grid_count,target_grid_count,very_high_count,high_count,top_priority_count,priority_count,low_access_target_count,environment_caution_count,avg_risk_score,avg_infection_pressure,avg_access_score,estimated_minutes,required_person_days,required_field_workers,available_field_workers,field_worker_gap,required_drone_workers,available_drone_workers,drone_worker_gap,required_control_standby,available_control_workers,control_worker_gap
32520,강원특별자치도,횡성군,348,103,98,60,28,75,15,61,64.32,56.6,52.51,8380.0,23.28,5,3,-2,1,3,2,4,4,0
32550,강원특별자치도,정선군,143,11,10,11,3,8,3,8,49.35,51.99,54.04,970.0,2.69,1,4,3,1,3,2,1,5,4
32560,강원특별자치도,철원군,1,0,0,0,0,0,0,0,62.68,48.35,55.03,0.0,0.0,0,1,1,0,0,0,0,0,0
32570,강원특별자치도,화천군,1,0,1,0,0,0,0,0,83.46,44.62,30.46,0.0,0.0,0,1,1,0,0,0,1,1,0
33020,충청북도,충주시,5,1,1,1,0,1,0,1,61.39,50.43,57.26,80.0,0.22,1,2,1,0,0,0,1,1,0
33030,충청북도,제천시,207,17,17,34,1,16,2,2,55.33,55.69,52.21,1210.0,3.36,1,3,2,1,1,0,1,2,1
33043,충청북도,청주시 흥덕구,3,0,0,1,0,0,0,0,63.97,56.69,59.62,0.0,0.0,0,0,0,0,1,1,0,0,0
33044,충청북도,청주시 청원구,3,0,0,1,0,0,0,0,57.12,48.03,52.05,0.0,0.0,0,1,1,0,0,0,0,0,0
33540,충청북도,영동군,18,0,0,0,0,0,0,0,41.34,51.41,52.83,0.0,0.0,0,2,2,0,0,0,0,1,1
33580,충청북도,단양군,121,17,14,18,1,16,1,10,52.76,53.16,54.91,1260.0,3.5,1,4,3,1,1,0,1,4,3
34011,충청남도,천안시 동남구,5,0,0,0,0,0,0,0,51.7,54.79,62.38,0.0,0.0,0,0,0,0,1,1,0,0,0
34012,충청남도,천안시 서북구,2,0,0,0,0,0,0,0,45.23,53.28,55.89,0.0,0.0,0,0,0,0,0,0,0,0,0
34020,충청남도,공주시,11,2,2,5,0,2,0,0,69.56,53.43,50.77,130.0,0.36,1,1,0,0,0,0,1,3,2
